text,Tag,sentiment
"এই শহরতলির প্রতিবেশী স্পট একটি বীট মিস না,অবিশ্বাস্য খাদ্য থেকে, উষ্ণ বায়ুমণ্ডলে, বন্ধুত্বপূর্ণ পরিষেবাতে, ।",positive,1
"সন্ধ্যায় বীট করা যাবে না, যুক্তিসঙ্গত দামে গ্রেট খাদ্য।",positive,1
"সন্ধ্যায় বীট করা যাবে না, যুক্তিসঙ্গত দামে গ্রেট খাদ্য।",positive,1
"উন্মুখ প্রত্যাবর্তন উপর,Ruben এর চেষ্টা।",positive,1
হাউজ স্ট্রিপ হাউস শুধুমাত্র অন্য স্টেকহাউজ যা রথের একটি মোমবাতি রাখা স্ট্রিপ।,neutral,2
চার্ট হাউসে যাই আমরা সাধারণত জন্মদিন বা বার্ষিকী উদযাপন করতে।,neutral,2
"সামান্য জায়গা  চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের শহরের দাম আছে, ",positive,1
"সামান্য জায়গা  চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের শহরের দাম আছে",positive,1
এটি আপনি পরিবেশন করবেন।,positive,1
দুইটি শব্দ: ফ্রি এবং ওয়াইন।,positive,1
"যদিও সেবাটি দরিদ্র,মূল্য যুক্তিসংগত ।",negative,0
"যদিও সেবাটি দরিদ্র,মূল্য যুক্তিসংগত।",positive,1
"আপনাকে আনা হবে,পরিমাণ খুব ভাল, আপনি সন্তুষ্ট হবেন।",positive,1
আমি রথ এর দ্বিগুণ হয়েছি এবং উভয় বার খুব হতাশাজনক ছিলাম,negative,0
"এটি মূল দোকান কারণ,প্রথম অ্যালবামটি দেখতে আসার জন্য।",positive,1
"আমি দুই সেকেন্ডের এলএ থেকে শহরে দুই বন্ধু সঙ্গে ছিল যখন আমি এই দ্বিতীয় তলায় ওয়াচ আপ উপর হোঁচট খেয়েছি, সুশীল লোকেদের গুরুতর হচ্ছে, আমরা অ্যাকশন কাছাকাছি হতে সুশি বার এ বসে ছিল।",neutral,2
"রাগ একটি রোমান্টিক, আরামদায়ক রেস্টুরেন্ট।",positive,1
এখানে ভাজা চাল আশ্চর্যজনক।,positive,1
"তিনটি কোর্স - পছন্দগুলি চমৎকার মিউসেলস, পেফ প্যাস্ট্রি ছাগল পনির এবং একটি সুস্বাদু ড্রেসিং সঙ্গে সালাদ, এবং এই বিশ্বের বাইরে একটি হ্যাঙ্গার স্টেক অই poivre অন্তর্ভুক্ত।",positive,1
"এটি একটি নিখুঁত জায়গা কারন, এখনে amanzing ভারতীয় খাবার আছে ।",positive,1
স্থানটি এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী।,positive,1
স্থানটি এত শীতল এবং পরিষেবাটি যে প্রম্পট এবং বিনয়ী।,positive,1
"শেষে আপনি নুডলসের সাথে একটি হালকা স্বাদ পারেন, সঙ্গে আপনি একটি কাপ আউট slurp পারেন।",positive,1
আমি শুধু আশ্চর্য হচ্ছি আপনি এইরকম সামান্য অর্থের জন্য কতটা সুস্বাদু খাবার খেতে পারেন।,positive,1
আমি শুধু আশ্চর্য হচ্ছি আপনি এইরকম সামান্য অর্থের জন্য কতটা সুস্বাদু খাবার খেতে পারেন।,positive,1
চমৎকার ওয়াইন তালিকা ,positive,1
একটি টোস্টার মধ্যে তাদের মাপসই করা যাবে না যে garantuan  ,positive,1
"আমি  অনেক আগে ম্যানহাটানের থাই রেস্টুরেন্ট  করেছি, এবং Toons পর্যন্ত আমি পেয়েছিলাম সেরা থাই খাদ্য (আমার মায়ের অবশ্যই ছাড়া)।",positive,1
তারা আরেকটি উপহার দেওয়ার আগেও আমার গ্লাস ওয়াইনটি শেষ করতে দেবে না।,positive,1
আমি অত্যন্ত সোফিয়া পিজা সুপারিশ।,positive,1
"জিজ্ঞাসা করা হলে, আমরা আরও বিস্তারিত প্রশ্ন জিজ্ঞাসা করতে হবে যাতে আমরা বিশেষ কি ছিল তা জানতাম।",negative,0
একটি ক্রমবর্ধমান ভাল জায়গা লঞ্চ বা ডিনার জন্য খাওয়া ।,positive,1
"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।",positive,1
"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।",positive,1
"মরুভূমির পরিষেবাটি খুবই আনন্দদায়ক, চমৎকার বায়ুমণ্ডলও ছিল।",positive,1
এখানে যে সমস্ত লোক আমি নিয়ে আসি তাদের নিজেদের উপর ফিরে যাও এবং তাদের বন্ধুদের নিয়ে আস!,positive,1
"সত্যিই বার সময়ে নিজেদেরকে উপভোগ করার পরে, আমরা একটি টেবিলের উপর বসে ডিনারে ছিলাম।",positive,1
"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।",positive,1
"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।",positive,1
"চমত্কার সেবা, চমত্কার খাদ্য, এবং একটি ঠাণ্ডা বাহিত বায়ুমন্ডল এবং পরিবেশ।",positive,1
আমি শুনতে চাই না।,negative,0
Lasagnette অ্যাচিচ্চারের চেষ্টা করুন।,positive,1
"মূল্যবান, কিন্তু একবার চেষ্টা একবার মূল্য, অন্তত একবার",negative,0
"মূল্যবান, কিন্তু একবার চেষ্টা একবার মূল্য, অন্তত একবার",positive,1
"আমি সেখানে কয়েক বার গিয়েছি, এবং আমি সাধারণত কিছু চমত্কার অদ্ভুত মানুষ পাশে বসতে শেষ।",negative,0
আমি বিয়ার নির্বাচন পছন্দ করি!,positive,1
"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।",positive,1
"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।",positive,1
"unpretensious সেটিং একটি মহান সেবা গ্রেট খাদ্য,এবং ভাল মাপের মেনু ।",positive,1
ফিরে যেতে অপেক্ষা নাকিসুরে .,positive,1
এনওয়াই একটি জায়গা খুঁজে পেতে আমি উত্সাহিত Dosa খাওয়া ও স্বাদ কুঁচন করতে।,neutral,2
ওয়াইন তালিকা নির্বাচন ভাল এবং ওয়াইন দ্বারা দ্য গ্লাস উদারভাবে শীর্ষে উদিত ছিল।,positive,1
"আমি প্রায়ই এখানে খাওয়া খতে বিরক্ত করতাম না,কারণ মেনুতে প্রচুর বৈচিত্র্যেময় থাকে।",positive,1
মেনু খুব সীমিত - আমি মনে করি আমরা 4 বা 5 এনট্রিস গণনা করি।,negative,0
"আপনি আগের চেয়ে বেশি সন্তুষ্ট থাকবেন,আপনি যদি একজন মৃগীরোগী ও ক্ষুধার্ত হন।",positive,1
"খুব পাগল না,তাদের মেটা মার্টিনি সম্পর্কে ।",negative,0
"গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা মধ্যে থাকা আউট",positive,1
"গ্রেট bagels, স্প্রেড এবং একটি ভাল জায়গা মধ্যে থাকা আউট",positive,1
জাজ জোড়া  পয়েন্ট ছিল।,positive,1
"আমি এই পছন্দের জায়গা সম্পর্কে জানি, OT আসন্ন গেস্ট ছেড়ে দিতে,এই জিনিস আমার টেবিলে চাপা বা চাপ অনুভূত যেন না হয়।",positive,1
কটি মহান চুক্তি হয় এই জায়গার।,positive,1
আমরা দুর্ভাগ্যবশত ফলাফল এই জায়গা উপর ঘটেছে যা সন্তুষ্ট ছিল।,positive,1
"এই রেস্টুরেন্ট সম্পর্কে অন্য সবকিছু পিট হয়,দুর্ভাগ্যবশত, খাদ্য অসামান্য।",positive,1
"এই রেস্টুরেন্ট সম্পর্কে অন্য সবকিছু পিট হয়,দুর্ভাগ্যবশত, খাদ্য অসামান্য।",negative,0
ডাফ পুনর্বিবেচনার Bukhara তারা দুটি নতুন জায়গা খোলা অনুমান মন্দ তাদের চেষ্টা আউট।,positive,1
আমার সবসময় একটি সুস্বাদু খাবার আছে যা সবসময় সন্তুষ্ট অনুভূতি ছড়ায়,positive,1
আপনার চারপাশে ঘূর্ণায়মান চপস্টিক্স উপাদানগুলি ডুবান ও খাওয়ান।,neutral,2
 ঐখানে গিয়েছিলাম প্রথেম তাদের বাগান ছাদ ভোগ করার জন্য।,positive,1
আমি কথা বলেছি  যেহেতু সবাই  অতিরিক্ত মাইল পারি দিতে ইচ্ছুক একটি বন্ধু যেহেতু অতিরিক্ত বন্ধুত্বপূর্ণ এবং সহায়ক।,positive,1
পিজা বেশ বিশাল এবং সুন্দর ছিল।   ,positive,1
নীলকান্তমণি একমাত্র ভারতীয় রেস্টুরেন্ট যেখানে আমি এনওয়াইসিতে আছি।,positive,1
"যদিও এটি তাইওয়ের মধ্যে অভ্যস্ত করা থেকে ভিন্ন, আমি সংগৃহীত যা থেকে রন্ধনপ্রণালী খাঁটি তাইওয়ানি হয়।",neutral,2
আমার আন্তরিকভাবে সুপারিশ।,positive,1
"একে শ্রেষ্ঠ জায়গা ধরা দ্বারা হয়, হার্টল্যান্ড ব্রয়াসসজ্জা NYC নতুন বন্ধুদের তৈরি।",positive,1
এটি খুব ঘৃণা আমি প্রায় একটি পর্যালোচনা লিখতে দ্বিধাবিভক্ত কারণ বায়ুমণ্ডল মহান ছিল।,positive,1
তারা প্রায়ই সপ্তাহান্তে ভিড় করে কিন্তু যাতে তাদের সেবা দক্ষ এবং সঠিক হয়।,positive,1
তারা প্রায়ই সপ্তাহান্তে ভিড় করে কিন্তু যাতে তাদের সেবা দক্ষ এবং সঠিক হয়।,negative,0
"ডিশ কিভাবে ছোট, ছিল আমার সমস্ত সহকর্মী বিস্মিত ছিল   ",negative,0
"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।",positive,1
"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।",positive,1
"বায়ুমণ্ডল নির্মূল করা হয়, সেবাটি নিখুঁত এবং খাদ্যটি চমত্কার।",positive,1
আমরা এটি বিশেষ আদেশ  গ্রিলটি branzino খাওয়া কঠিন যেহেতু হাড়ের সঙ্গে infused .,negative,0
"অপেক্ষা কর্মীরা বন্ধুত্বপূর্ণ,  খাদ্য ভাল  অর্জিত হয়েছে!",positive,1
"অপেক্ষা কর্মীরা বন্ধুত্বপূর্ণ,  খাদ্য ভাল  অর্জিত হয়েছে!",positive,1
এই জায়গা কয়েক মাস বয়সী সম্ভবত কুইন্স এর সবচেয়ে বড় রহস্য ,positive,1
Vibe ভাল এটি আপনি এলাকায় খুঁজে পাবেন সেরা ফরাসি খাবার এটি সপ্তাহান্তে একটি বিট বস্তাবন্দী।,positive,1
এই জায়গাটি অনেক মজার ।,positive,1
আমি কি আনন্দিত ছিলাম।,positive,1
ব্রুকলিন একটি সুন্দর আরামদায়ক জায়গা বন্ধ ডান দিকে এটি ভাল পিজা আছে ।,positive,1
ব্রুকলিন একটি সুন্দর আরামদায়ক জায়গা বন্ধ ডান দিকে এটি ভাল পিজা আছে ।,positive,1
কখনো আমি  এত অমনোযোগী আচরণ করি নি।,negative,0
 শীঘ্রই আমি ফিরে আসব.,positive,1
অসামান্য লে থার পিনার্ড একটি $ 15 প্রাক থিয়েটার মেনু,positive,1
ভিতরে গিয়ে আমি উত্তেজিত হয়েছি।,positive,1
আমার ডেলিভারির জন্য রেস্টুরেন্ট অর্ধেক অর্ডার ভুলে যায়,negative,0
"আমাদের উপর চেক করা হয়,কারণ আমাদের সার্ভার পুরো খাবার সময় দুবার",negative,0
"যাইহোক, এটি প্রশংসার না শুধুমাত্র খুব ভাল।",positive,1
ভাল কারণে আমরা Montparnasse অনেক বার হয়েছি,positive,1
"আমি নেতিবাচক  স্বাদ কুঁড়ি প্রভাবিত, বাম এবং ডান থেকে আসছে শক্তিশালী scents  ।",negative,0
আমরা এটি  অদ্ভুত লবস্টার স্যান্ডউইচ ছিল,positive,1
এটা কোথায় আপনি খেতে এবং সুখী হতে পারেন।,positive,1
"যদি আপনি একটি খারাপ পর্যালোচনা লিখে থাকেন, কারণ আপনি রাও এর সব কি জানেন না।",positive,1
"আমরা যদি থামিয়ে দিতাম তবে বুঝতে পারতাম যে তারা কোথা থেকে আসছে, কিন্তু আমরা সেখানে এক ঘণ্টারও কম সময় কাটিয়েছি এবং তারা আমাদের কাছে এখনো একটি চেকও নিয়ে আসেনি!",negative,0
 সামগ্রিকভাবে আমি কিন্তু এটি 10 ​​দিতে পারি,positive,1
" আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন, যদিও মাকড়সা রোলটি খেতে একটি চ্যালেঞ্জের মতো হতে পারে, তবে নরম শেলের কাঁকড়াটি রোলটি দিয়ে ঝুলিয়ে রাখলেও।",positive,1
"আপনি তাদের জন্য মূল্যের দামের মূল্য পাবেন, যদিও মাকড়সা রোলটি খেতে একটি চ্যালেঞ্জের মতো হতে পারে, তবে নরম শেলের কাঁকড়াটি রোলটি দিয়ে ঝুলিয়ে রাখলেও।",positive,1
গভীর ভাজা skewers ভাল এবং এখনও এনওয়াইসি খুঁজে পাওয়া বিরল।,positive,1
"আমি রিজার্ভেশন করার চেষ্টা করেছি, কিন্তু উভয়ই সময়, হোস্টেলে আমার নাম ছিল না।",negative,0
আমি চাল বাদাম বা কংগী বিভিন্ন ধরনের (চাল পোড়) সুপারিশ করি।,positive,1
তাদের টুনা টিটার অ্যাচিটাইজারের জন্য মরতে হয়।,positive,1
এই সেরা রেস্টুরেন্ট আমি কখনও হয়েছি,positive,1
এই রেস্টুরেন্ট বেশ সুন্দর হতে ব্যবহৃত।,negative,0
"পরিমার্জিত একটি oasis: খাদ্য, যদিও কিছুটা অসম, প্রায়ই নতুন আমেরিকান সূক্ষ্ম রন্ধনপ্রণালী pinnacles পৌঁছে - শেফ এর আবেগ (এবং রান্নাঘর এর সুনির্দিষ্ট মৃত্যুদন্ড) মাছের থালা এবং স্যুপ সবচেয়ে স্পষ্ট হয়।",positive,1
"যদি আপনি ওয়াইন এবং পনির এবং স্বাদ ফরাসি ফরাসি ভাড়া চান, আপনি শিল্পীকে ভালোবাসবেন!",positive,1
আমি ভারতীয় খাবার পছন্দ করি এবং নিজেকে নিজেকে একজন বিশেষজ্ঞ বলে বিবেচনা করি।,positive,1
কিছু শিশুর ইচ্ছা করে তাদের পিজা পেতে,neutral,2
আপনার নিজস্ব পছন্দ প্রচুর সৃষ্টি করতে ।,positive,1
"এটা ক্ষুদ্র ছিল, এবং আমি অনুভব করলাম যে আমি কারো জীবিত রুম এ খাচ্ছি।",negative,0
আমি সেখানে বসে ছিলাম,neutral,2
"এটি অপেক্ষা করছে এটি অসামঞ্জস্যপূর্ণ,সামগ্রিকভাবে একটি ওহ ",positive,1
এটি অপেক্ষা করছে এটি অসামঞ্জস্যপূর্ণ সামগ্রিকভাবে একটি ওহ ,negative,0
আমি সুপারিশ করবো লাভা পিষ্টক ডেজার্ট অবিশ্বাস্য ছিল ,positive,1
"তখনই শিশুর পিজা আশা করা হয়,যখন ভিটিটি  বেড়ে ওঠে ।",positive,1
"অনাবিষ্কৃত ম্যানেজারদের উল্লেখ না করে, সামগ্রিক অভিজ্ঞতা ভয়ানক ছিল ভয়ানক পরিষেবা ও  নমনীয় খাদ্য থেকে",negative,0
"অনাবিষ্কৃত ম্যানেজারদের উল্লেখ না করে, সামগ্রিক অভিজ্ঞতা ভয়ানক ছিল ভয়ানক পরিষেবা ও  নমনীয় খাদ্য থেকে",negative,0
লাহোর দেরী-রাতে যখন আপনি সস্তা উপর কিছু সত্যিই সুস্বাদু খাবার প্রয়োজন মধ্যে হাঁসের একটি ভাল জায়গা - আপনি সম্ভবত আপনি চার ডেলরার জন্য পেতে খাদ্য পরিমাণের সমাপ্তি সমস্যা হবে।,positive,1
লাহোর দেরী-রাতে যখন আপনি সস্তা উপর কিছু সত্যিই সুস্বাদু খাবার প্রয়োজন মধ্যে হাঁসের একটি ভাল জায়গা - আপনি সম্ভবত আপনি চার ডেলরার জন্য পেতে খাদ্য পরিমাণের সমাপ্তি সমস্যা হবে।,positive,1
শেষবার যখন আমি গিয়েছিলাম তখন আমরা রান্নাঘরের পাশে একটি করিডোরের টেবিলে বসে ছিলাম।,negative,0
উচ্চ শেষ পর্যন্ত wines ভাল নির্বাচন সাশ্রয়ী মূল্যের থেকে ,positive,1
ক্লাসিক চমৎকার রেস্টুরেন্ট upscale ইতালীয় সামগ্রিক সজ্জা  ,positive,1
ছাপানো খাদ্য সঙ্গে  না,negative,0
পুরো ডাইনিংয়ের অভিজ্ঞতা চমৎকার ছিল!,positive,1
ওয়াইন নির্বাচন (গ্লাস এবং বোতল দ্বারা) চমৎকার এবং বন্ধু একটি রিজার্ভেশন সুপারিশ আমি সবসময় তার শহর হতে যাচ্ছি।,positive,1
ওয়াইন নির্বাচন (গ্লাস এবং বোতল দ্বারা) চমৎকার এবং বন্ধু একটি রিজার্ভেশন সুপারিশ আমি সবসময় তার শহর হতে যাচ্ছি।,positive,1
সেবা অত্যন্ত পরিশ্রুত: আমাদের সভাগৃহা আমাদের রিজার্ভেশন গত 35 মিনিট বিলম্বিত এবং maitre d 'ক্ষমা ও নিয়মিত আমাদের অগ্রগতি সম্পর্কে সচেতন রাখে।,positive,1
"প্যানং হাঁস অর্ডার, এটা চমত্কার।",positive,1
আরো কি আপনার জন্য অনুরোধ করতে পারেন?,positive,1
আমরা একটি লাইন এই লাইন একটি বিশেষ সংস্থার জন্য অপেক্ষা গঠিত হয়েছিল লক্ষ্য যে সবচেয়ে ভাল ডিলার,neutral,2
"ভারতীয় আছে,তারা আমাজনের দামে খাঁটি ।",positive,1
"ভারতীয় আছে,তারা আমাজনের দামে খাঁটি ।",positive,1
আপনি শুধু রয়্যালটি মত আচরণ করেন।,positive,1
Ambiance- আরামপ্রদ এবং আড়ম্বরপূর্ণ,positive,1
আমি গত মাসে জিমির ব্রঙ্কস ক্যাফের চেয়ে বেশি আবেগপ্রবণ বোধ করিনি।,negative,0
"সৌভাগ্যবশত আমরা BBQ সালমন, সাগর বাস এবং ক্রিস্পি ডক জন্য ঘর সংরক্ষিত।",positive,1
"হ্যাঁ, তারা চকচকে উপাদানগুলি ব্যবহার করে, কিন্তু কল্পনাপ্রসূত উপাদানগুলি ভাল পিৎজা না করলেও কেউ জানে না যে কীভাবে বিপরীত ডান পেতে হয়।",negative,0
"বাইরের দিকে তাকিয়ে, এক দেয়ালের এই গর্তে প্রবেশ করতে দ্বিধা করবে (সত্যিই, এটা কি তা)।",negative,0
এবং হ্যাঁ ডাল বুখারার তাই বাঁধ ভাল এবং তাই হয় সমস্ত ক্বাব।,positive,1
আমি অপেক্ষায় আছি এখানে আবার খেতে ,positive,1
আমি একটি শিশু হিসাবে এখানে এসেছি এবং সবসময় স্বাদের জন্য ফিরে আসা।,positive,1
Tuk Tuk যারা আরামদায়ক আশপাশ জয়েন্টগুলোতে এক যেখানে আপনি জানেন যে আপনি একটি ন্যায্য মূল্যে একটি ভাল খাবার সবসময় থাকবে।,positive,1
Tuk Tuk যারা আরামদায়ক আশপাশ জয়েন্টগুলোতে এক যেখানে আপনি জানেন যে আপনি একটি ন্যায্য মূল্যে একটি ভাল খাবার সবসময় থাকবে।,positive,1
Tuk Tuk যারা আরামদায়ক আশপাশ জয়েন্টগুলোতে এক যেখানে আপনি জানেন যে আপনি একটি ন্যায্য মূল্যে একটি ভাল খাবার সবসময় থাকবে।,positive,1
"মশেল সবকিছু খুশি,লিপিং লিজার একটি গ্লাস, প্রসেসর একটি গ্লাস, এবং ।",positive,1
"খাদ্য গড় ছিল এবং creme brulee ছিল ভয়াবহ - চিনি জটানো ছিল না, caramelized এবং কেবিনের গন্ধ না।",negative,0
খাদ্যে সবসময় তাজা স্বাদ এবং তাত্ক্ষণিকভাবে পরিবেশিত।,positive,1
খাদ্যে সবসময় তাজা স্বাদ এবং তাত্ক্ষণিকভাবে পরিবেশিত।,positive,1
আমি জানি যে আমি কাছাকাছি বাস করছি।,neutral,2
এখানে পিজা সুস্বাদু,positive,1
আমার পরিবার সম্পূর্ণ  ভয়াবহ ছিল।,negative,0
মাসিক ভিত্তিতে আমি ও আমার বন্ধুরা একসঙ্গে একটি মেয়েকে রাতে নিয়ে গিয়েছিলাম,neutral,2
আমি  তাদের প্রায়ই  আদেশ করতাম ডেলিভারি সবসময় দ্রুত আমার পিজা এবং রসুন নট ভাল,positive,1
আমি  তাদের প্রায়ই  আদেশ করতাম ডেলিভারি সবসময় দ্রুত আমার পিজা এবং রসুন নট ভাল,positive,1
"শুধুমাত্র একটি ব্লক দূরে আছে কাছাকাছি গ্রেট চীনা খাদ্যে জন্য, উনি উ লিয়াং ইয় এবং গ্র্যান্ড সিচুয়ান ।",positive,1
কেউ কেউ সেবা সম্পর্কে মারে এর কথা বলে ।,neutral,2
"একটি রেস্টুরেন্ট, খাবার সবচেয়ে গুরুত্বপূর্ণ অংশ সম্পর্কে ভুলে গেছে এই জায়গাটি সত্যিই ট্রেন্ডি ",negative,0
"একটি রেস্টুরেন্ট, খাবার সবচেয়ে গুরুত্বপূর্ণ অংশ সম্পর্কে ভুলে গেছে এই জায়গাটি সত্যিই ট্রেন্ডি ",positive,1
কখনও হতাশ করা হয়েছে লাল চোখে,positive,1
শেফ থেকে হাট বন্ধ,positive,1
দূর থেকে গ্রাহকদের-এটি একটি পিছনে ঘর করা উচিত  ,negative,0
